,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","9","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","10","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","9","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","9","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
,"10","0","9","0","10","0","9","0","9","0","9","0","8","0","8","0","8","0","9","0","9","0","9","0","10","0","10","0","9","0","8","0","10","0","8","0","9","0","9","0"
